,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s),fit_norm_intensity
461,101,0.25655475079100004,0.0027689954406500002,0.264134641307,0.00271368476335,419.1919,70.0000632743,0.2,0.2513558405912422
462,102,0.27131820629000003,0.0027689954406500002,0.267324229849,0.00271368476335,429.2929,70.0000632743,0.2,0.26074342277986795
463,103,0.270386810477,0.0027689954406500002,0.275218854711,0.00271368476335,439.394,70.0000632743,0.2,0.26975136450142345
464,104,0.284027945801,0.0027689954406500002,0.283196617845,0.00271368476335,449.495,70.0000632743,0.2,0.278241065191721
465,105,0.279804199772,0.0027689954406500002,0.28878724527800004,0.00271368476335,459.5959,70.0000632743,0.2,0.2861246885993077
466,106,0.296008403568,0.0027689954406500002,0.296431893582,0.00271368476335,469.69699999999995,70.0000632743,0.2,0.29335942581220914
467,107,0.296220014164,0.0027689954406500002,0.294696943915,0.00271368476335,479.798,70.0000632743,0.2,0.299937541001964
468,108,0.309995794045,0.0027689954406500002,0.310233127483,0.00271368476335,489.899,70.0000632743,0.2,0.30587759148324956
469,109,0.314118170169,0.0027689954406500002,0.314068863299,0.00271368476335,500.0,70.0000632743,0.2,0.3112150753100875
470,110,0.31227054354,0.0027689954406500002,0.312546815015,0.00271368476335,500.0,70.0000632743,0.2,0.3112150753100875
471,111,0.326626310926,0.0027689954406500002,0.327827123702,0.00271368476335,555.5555,70.0000632743,0.2,0.33193688536721117
472,112,0.33895482745,0.0027689954406500002,0.33782815216300005,0.00271368476335,611.1111,70.0000632743,0.2,0.34324753284657455
473,113,0.34488769068499997,0.0027689954406500002,0.34061187988799996,0.00271368476335,666.6667,70.0000632743,0.2,0.34978495140833277
474,114,0.35673519707400003,0.0027689954406500002,0.35144344844400005,0.00271368476335,722.2222,70.0000632743,0.2,0.3538264493801304
475,115,0.35355676837399996,0.0027689954406500002,0.350263081603,0.00271368476335,777.7778,70.0000632743,0.2,0.356476920713084
476,116,0.358750374831,0.0027689954406500002,0.363098675719,0.00271368476335,833.3333,70.0000632743,0.2,0.35830551789203213
477,117,0.36093858814400004,0.0027689954406500002,0.35970180324400003,0.00271368476335,888.8889,70.0000632743,0.2,0.35962869704971345
478,118,0.35764892492899997,0.0027689954406500002,0.357774877197,0.00271368476335,944.4445,70.0000632743,0.2,0.36063462377442784
479,119,0.35897869636999996,0.0027689954406500002,0.350500980643,0.00271368476335,1000.0,70.0000632743,0.2,0.3614389218456943
480,0,0.35611352517300005,0.0020521535265300003,0.354567689944,0.00537549991503,-1000.0,100.000063685,0.2,0.35849390595070557
481,1,0.36050347836400004,0.0020521535265300003,0.358262241626,0.00537549991503,-944.4445,100.000063685,0.2,0.3574909404042376
482,2,0.349925888265,0.0020521535265300003,0.34884546657300003,0.00537549991503,-888.8889,100.000063685,0.2,0.356267742821354
483,3,0.350793637478,0.0020521535265300003,0.348978911991,0.00537549991503,-833.3333,100.000063685,0.2,0.35477751290750814
484,4,0.347571126476,0.0020521535265300003,0.345602253844,0.00537549991503,-777.7778,100.000063685,0.2,0.3529588478299908
485,5,0.34994853757,0.0020521535265300003,0.351616380334,0.00537549991503,-722.2222,100.000063685,0.2,0.350725996282054
486,6,0.34458499251999997,0.0020521535265300003,0.342265559456,0.00537549991503,-666.6667,100.000063685,0.2,0.3479545859960362
487,7,0.338666521264,0.0020521535265300003,0.328870713607,0.00537549991503,-611.1111,100.000063685,0.2,0.34445517086804645
488,8,0.336264564305,0.0020521535265300003,0.332934021791,0.00537549991503,-555.5555,100.000063685,0.2,0.3399165120650509
489,9,0.32865487200800003,0.0020521535265300003,0.33464184367600003,0.00537549991503,-500.0,100.000063685,0.2,0.333776322325862
490,10,0.325336402357,0.0020521535265300003,0.325632810749,0.00537549991503,-500.0,100.000063685,0.2,0.333776322325862
491,11,0.332765775551,0.0020521535265300003,0.336394519991,0.00537549991503,-489.899,100.000063685,0.2,0.3324169200925464
492,12,0.327045531303,0.0020521535265300003,0.32397710943,0.00537549991503,-479.798,100.000063685,0.2,0.3309638769966554
493,13,0.329417726856,0.0020521535265300003,0.322810894288,0.00537549991503,-469.69699999999995,100.000063685,0.2,0.3294082843299515
494,14,0.326234204754,0.0020521535265300003,0.327271464591,0.00537549991503,-459.5959,100.000063685,0.2,0.3277408608218231
495,15,0.330281719421,0.0020521535265300003,0.330208241924,0.00537549991503,-449.495,100.000063685,0.2,0.32595200231269117
496,16,0.32585653397799996,0.0020521535265300003,0.31347991555599997,0.00537549991503,-439.394,100.000063685,0.2,0.3240326271849606
497,17,0.32394016936299996,0.0020521535265300003,0.320647401713,0.00537549991503,-429.2929,100.000063685,0.2,0.3219743239718264
498,18,0.318241188472,0.0020521535265300003,0.319264460034,0.00537549991503,-419.1919,100.000063685,0.2,0.31976996066534286
